#ID,P1,P2,Result,Result
2041,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000xp8inPb13jnkACEOpQIX9p00wA0an7vrNa1NU0zp00OSaa15Tf54nPDdzp012GRp01vrSp01hwTp01ARnp014Ec9oYHBx9oQcVI9o8dwc9ogIcxSoCIP4g00tUIg00BYwg00xWCajv6oTp00zvSq00TG5an7y8Kajv4w9ajv2Do,P1Win,P2Win
2042,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000hOrimwCOr7mXg7p1mK5iC7mXkWu1mKa8Ht00h1kt00h1kO04w5Ip00zyHa1a0HJa1a3oF4ou38SjoyeaH7kdNEr7kifhD7kmEit7kr5Eh7kmHwc7kiko7p00Ba9anPpeaanPrU6akzQWUakzTDQp00j9q9oH83P9oLgFhg00l3Jg0maWcp00Tmnp01ossp00Dypp014R3r017Ru,P1Win,P2Win
2043,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000ET9inxFMhd5cQcqjn7DuUp00W6HGff3azp0117Bp013MHa0vPwY7pMtjK7pQVhU7pVgch7o3Jr87nYnUp7nTTkSak17Sgak15ci7keeWFa0vMQ37kn53U7kebsy7kn1ipp00EDFT00Qa4a5qiD5r00OAcr011Upa5qfW99pz7JY9pDCFI9pDPzp9pzknI9nU0fx9nTSN69nYvre9nYcmf,P2Win,P1Win
2044,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000gYIinBHXbh0zlrMj0VzxqNpV048p00AknalFhNCp00H2p9pLYJT9pMauG9pM57Kp00x7iGd0dKbajzczmajzfgip00gaar009dna15ipnSoU5EJ7kqXC97kr3sd7oYGL17oYBUS1mjBmv1mfhscalFf7Ga4kPF2a4kMXYp00LjEp013f9r016Ng,P1Win,P2Win
2045,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000wRnin76dEhng5shjnPqPNp00JdGalFo10alFqGVa1NU0Ap00OSba1NWGw4phK7rO00BI8N09jKz204V5H7nC7bu7nC9Rq7nCcym7olbXS7oleEO7p4gLh7p4jsd7p4m99p016wHp01ASAp01dc9p01tiBp012qbp01AR5p01APLq01ax67kdXRo7ke0tK7krfkr7krgVN7kiu4h7kivpfr004oc,P1Win,P1Win
2046,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000i5JinKwtXjmK5xxp00szBa15woJa15z5F4oymvAN0hKowajuEwWalFa2JalFcIIg0ma8Xg00ncS7p8oQk7p8qsG7p8tGp7oc9LV7ocfqc7nfQtO7nfS6b7nfVjTp015bRp00JXvp01pivp01fUnzdR2M2O08VTD7kdMzR7kdOce7kr3Lw7kr42U7kihao7kiiLKp01ARm,P1Win,P2Win
2047,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000foPinouKKhlWvUHjmo3Oop00xFWamKbIiamKepfa15BLta15z5x4nGxg5O00iTAN090W2g00dN7w04BcAzdR0687kzO2G7kvsvX7kr5nS7nfSCX7nfXt37p8mXz7p8qci7p8rNE7oc8Hm7occJgp01xDyp01urtp01deYp00MHWp00Wkkp00XYoamJRmXp00A4l,P1Win,P2Win
2048,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000vwnioH3KxjocsyYO00tUIN0dEJvNp8C1BalFntnalFqana1NU0yp00OS9a15Tf44nbYLX7krfkr7kmQUX7kitMS7ke6EN7kivFD7kmVL37phoCJ7phrjF7phu0B7oymwh7oypdd7oyrT97ntg0F7ntiGB7ntlnxp01ARmp016Klp010hvp015bUp01tmSp01semp01bll,P2Win,P1Win
2049,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000ydoinoIJdjnCdBvalFsQnN0i23WamKvl2p00Qe6a15Rmi4nCqMoa00ORAp00RNmp01AQcp01bSIp01a25p01mA0p01ARJp00L337ke3Ht7kiv8Q7kmWze7nkvxG7nKYHh7np0Vo7olbaH7ou2lw7o83jf7p8EXV7p8HER7p8K5p6oUveIamK6Slr00ADtp01AT2r01qHjr01dKTD04RQYzcUWVl,P2Win,P1Win
2050,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000hOrinOVephnOYYxp00xWj4nbJsua1Aup5a1ArI9joppFOajuW07ajuTjbN090pfnpM04cnpHL4uO04HE2zd05tGp00TqNp01owHq00FYjp012r0p00YMcSnP5Db7nKIjh7nKI2Sp00nYovd089f,P1Win,P2Win
2051,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001cYFp01A6QjnD10lamkSAAamkVhwp01ycka1Bu9Qa1KfWNajvKbWajvM4JajvNWxaknA0ut019eFr00WEuG00YcsaiMjUsaiqkQjt01cbzt01cbzt01cbzt01cbzp01ATtp01p3Wp016Mc80alnf8pEzuDEoVblUp01fUng01iDvr01xVtN0etbT,P1Win,Draw
2052,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001cIhp01yJCimP7cVp017kdGdAgkfp01pkvp01gbLp00Trfajvm1UajvM65t01fWvt01fWgt01fWgajvKIJajvNpJ9oMf4C9oMuUr7oHMCi7oMjDj7olY5j7oVjpk7p51saaggaf7p004jwg0iD9jg01bUFad0sksa1OJwMa1OGPQp01ytQanLY9oanM1Pkp01yJ5p01yuIr004iWr00rWfr004lujnQeeG,P2Win,P1Win
2053,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dwsjn8aMdT016fzajvNG7p01fDSp01ATPp01ASFGgTTMqanQsJmanQq3qa16Bwda16Ed9LlBndzamKNBc8nCFxvajvLNkajvJUy9oUYwd9oQPTLg01iDv7oHSxT7oV8Vn7oMmAD7oQNuer01ATfq01owbt01d06t01d06t01d06t01d06g016xNagYfR5agYdb9,P1Win,P2Win
2054,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dwst01dgut01dgut01dguajvJFxt01eBxajvLyiajvNr3t01hiup01ATCanQq3danQsJ9p01AStp01pAMGesatI9oQCcg9oQV0Qp01s2tr01AT2ahHgCzahHdVDjnQeeDa16CAMq01gs9r01AU7gp9gMPgpiaEA7oMfl17oMiyJ7oMkb6p017k7a16FhIp004iC,P1Win,P2Win
2055,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001bnjt01aPVjnQeeGt01a2Ft01aj6t01a2LT016goajvOvCajvMCRajvKK7t01eByp01fDXp01oMCp0173Fp01ASir010T8p01ADCa1T9hLa1T6APalXUmtalBPWk80anMMp01ATsamxDkYafTeHoLo4jG0amxG1U8nl9dMLnHtvH9om4rM9olMwoGhyxtJadmYWGr00WUVgpmy44r01ASNr010NQ,P2Win,P1Win
2056,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dMQjnQeeCajvKtIajvMmtajvOfet01elat01elat01elat01elat01elat01elaT017kdamg0gS8nCHqip01gsap01oMBa1OJxkanQsJgp01ASIahHfhBGjvyCHLnGY9f9ohCic9oqaE57oMseT7oMg9cahHhXxp01ATJanQq3k7oMu7E7oMiilp01AQLr01ARH,P2Win,P1Win
2057,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dwst01dgut01dgut01dgut01dgut01eBxajvKK7ajvNr3t01hiup01ATCanQq3danQsJ9p01AStp01pRbGesapHalFKjl8nCHqiT017AB9oz0du9ozj25LnGY9fr01AT2ahHgCzahHdVDjnQeeDp01gIxr01AU77oMkb67oMhKya16CAMOoz26G,P2Win,P1Win
2058,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001cIhagYKdXU01tEBamLgzSjmGJjBp017QLp01owap01gbHp01ASwp01ATCao4Dhxao4FXta2bKsmp017ggt01dgot01eAL9ozhG79oqd51GjvyyGajvNG4t01dwMLkncSEajvL08t01dgot01dgot01dgo9oz9T67oMkb67oMjmU7oMgWn7oMewP,Draw,Draw
2059,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001crST01cqb8nLDXtajvJ5VajvGp0LnCYUJjngYh9p01litu013i8ajvKrvajvIyKajvGGPp01AUgp01ABKa27mvyGgTSvut01dwOt01dwOt01dwOt01dwOt01dwOp01ASEp01ATsp01tmuai8Gi3p01szyp01tnar00Yh2ai8DB7amLnyla27jOCamLkRpr01dLK,P1Win,P2Win
2060,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,0012aVzd103b600Nt9T01AOxa9Lmola9LjHpp01yWnt00XWft00XWft00XWft00XWft00XWft00XWft00XWfa3gvpbp012IyjnPX3cajvBfYajvyz2Ggg4N3E00RLkp00A1Dp01qCtp01db3r01AUg,P1Win,P2Win
2061,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001m4xt01lN0t01lN0p01AOxonlCrvj16ruST01dvOt01lN0t01lN0p01uEUamKWtYajvR76p01uFuhnu0Cgt01lN0o1FV2jt01lN0ajvTN2t01lN0p01mjzt01lN0p01APup01AP1r01ATga16G4sp00WRU,P1Win,P2Win
2062,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000iSUamKfKaamKir8p00FYBp013yXajuJUeajuMB5p00DQhp00wz8jnt8YXGplrOSp00882p01drjp00xWtu00m5sr004m480Iw1G4pQLDoaoYTH5p01AB1t00gu2t00gtNt00gtzt00gJYt00gtQt00gu3p00cG6p00wvVp004o7r00W3jr00W8oaoYR19,P2Win,P1Win
2063,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000h19Gd07xrt004nMjpyTkoj1J328p00xVcp00GvHa8EJMsp00vwPp005rbq00kdct00fFit00fFit00fFit00fFit00fFit00fFit00fFiamKjf7amKlV3akzUY1akzXEWa15Cjia15zCmp00JeFp01wztr01kXsr01nWh,P1Win,P2Win
2064,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000gJRjnt904Gfwk9Ip00xWea0Ixmda0IA39p00j97ajuNV7809jKzajuQC3p00ABVp00QJWp00Xrjr004o2ad05tap0158Ap01evSp004lYq00Didu00n9Rr01ASNt00gu3t00gu3t00gu3t00gu3t00gu3t00gu3t00gu3,P2Win,P1Win
2065,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000fDCjoH2CWu00od1p00cV1GjlQxcq00IDDa1JaNWp00UaIp00FaCp00GLqp00LA4r00h0Er00Cufp00xSuajv4tFamFHpdt00eiDt00eiDt00eiDt00eiDt00eiDt00eiDt00eiDajv7aBa1Jdv0E092vl,P1Win,P2Win
2066,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000x7QjnbM7Sa4UkWsp00AkeGgfyV1r00m5ta4H529p00Jdyp00LCuamKzlWamKC2Sajv4uRajv7bNt00urft00urft00urft00urft00urft00urft00urft00urft00urfp01APYEoUizOp012cfp00Lkep004nfp004mqp01ejor00AmPp00pz2,P1Win,P2Win
2067,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000P8fjocIFIa4llQ7a4lox8alFKzualFHSqt00EUDt00EUDt00EUDt00EUDt00EUDt00EUDt00EUDt00EUDT00BVeamKrNPamKnMyGeemd5amKqtuq00Oi2LmK9iKp00S6Xp01sgnp01mnep014Q0r00rsqL00FIht00DhOr00pRA,P1Win,P2Win
2068,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001cbta16Ed9a16Bwdp01ATHampl2campilgjnQeeFp01pAMp01ASoakeMPbakePwaGeOaQWahHbfHahHdVDp01AOxt01bUrt01bUrt01bUrt01bUrt01bUrt01bUrp01s2y80ang0t01bUrt01bUrt01bUrq017jWp01gsa,P2Win,P1Win
2069,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001h0MT01sA4p01AOxonQsEBo2bLgxt01aibajvSvqp01AR7p01ASsa3gFFea3gImcL01gKKp01ARNajvWPh8nQjRNp01ACIt01aibt01aibt01aibt01aibt01aibt01aibt01aibt01aibajvQCDajvOJQp01kcOp01AQtp00hNRad1752,P1Win,P2Win
2070,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,0016dpU01kGVa0WFpAa0WDwPa0WBE5p01AOxp01seEamLntXamLkN2o01vYCo16taqr01nsxaoVnGqaiqxataiqzQqt010zct010zct010zct010zct010zct010zct010zct010zct010zca3gy6Cp01j76p01ax5a7AssIr00W4S,P1Win,P2Win
2071,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001h0cT01jXJakAXa6LmL8tYLlFlQUr00EnFa1syUmp01qFiakX62yakB70mt01eA5t01eA5t01eA5t01eA5t01eA5t01eA5t01eA5t01eA5t01eA5t01eA5t01eA5jn8aJXad14o5,P1Win,P2Win
2072,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dKsoohPDco0wdqit016v6ajvJBLaoziYGt016v6t016v6t016v6t016v6t016v6t016v6t016v6t016v6t016v6t016v6t016v6ajvMiIp01w03p01AU9,P1Win,P2Win
2073,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000SRYp01AP8p019Wcp01lO1p015qwp01mRkakAtPmakAwwip01lyyap4NMvap4Qtst00zg5t00QJmt00QJmt00QJmt00QJmt00QJmt00QJmt00QJmt00QJmt00QJmt00QJmt00E6Wp00WVPa4lh1up01zLJa01oya,P1Win,P2Win
2074,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000nXtajVl23ajVnI0t00nH7t00nH7t00nH7t00nH7t00nH7t00nH7t00nH7t00nH7t00nH7t00nH7t00nH7t00il5joUfS2a00Bpoa00yIop00xDlp00JYn,P1Win,P2Win
2075,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000LE7p01jUop01pmlp01AT8p019dwp00LmbajvhasajvjQoanPMCHanPPjFp00ncSp01daUp01iB9anQ2o1anQjRNt00EFst00EFst00EFst00EFst00EFst00EFst00EFst00EFst00EFst00EFst00EFst00EFs,P2Win,P1Win
2076,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001izyp01Aybp01zuap01yqaalGfCoalGijkajvOHgajvRoda3gIQoa3gLxoa9KR3Ma9KTJHp01xCyt01izBt01izBt01izBt01izBt01izBt01izBt01izBt01izBt01izBt01izBt01izBt01izB,P1Win,P2Win
2077,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,0010R2ajzVcoajzXSlaoV7y5aoVaf2pgcsHYp2kwJzpdNXY3ppRy8Bpfk1iXr5gFIyt60xTwt3kxl9tkw5DutagtQDt9BP9Et2KinBt32UmntiHW1qtlSMMTt6EcBvteao5xtaU8yCtchPI2,P1Win,P2Win
2078,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000R1Yp01pmcp01sOSajvqiQajvnBTanPTBXanPWiXajw0Mtp00QJ3r01qoqt00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3t00Nh3,P1Win,P2Win
2079,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000P5Dp017x4p016Jtp015Fup00NdVp01wMDakAwdzakAtwDa164oNa1675Lr00SPot00MoQt00MoQt00MoQt00MoQt00MoQt00MoQt00MoQt00MoQt00MoQt00MoQt00MoQt00wgTt00MoR,P1Win,P2Win
2080,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001kKNp01gXXF16p6oGjvLuzp01q59amLaA5amLdh1yjvPNVamL7WdamLaDaq01AkPq01AR3j2bwHDt01ahvq01AQup01zgSp01xkqp01yth8pRiRGr011X3t01ahvt01ahvt01ahvt01ahvt01ahv,P1Win,P2Win
2081,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001mmojnQecNt01liHt01gIct01gIct01gIct01rcLajvXS7ajvVcbt01wiRt01rtKt01l0LyjvPOjF3ybSyGhHyPzp01AR6a16EaIa16BtLp01AQm,P1Win,P2Win
2082,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000gHtt00f6kt00f6kt00f6kt00f6kt00f6kt00f6kt00f78t00naVjnPaXyF00raGy0072uj00fTLp00E4Cp00uWmp00MUpr00vde,P2Win,P2Win
2083,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000hfiF01wxFy00875p00JbMp00qUjaoUseKaoUpxHamKxs2t00bkFt00bkFt00bkFt00bkFt00bkFt00bkFt00bkFt00bkFt00bkFajuNn0ajuQ3Wp00iP3p01tkuamKA8Yr01ATXr01ARy,P1Win,P2Win
2084,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000dYpt00dYbt00osYt00osJt00pN6y00f3mF1vVroj1J00yjpus6bjogyagj0mhzKE2ajtYanPe97a00oYYakVRhx,P1Win,P2Win
2085,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000e1djo3kWyjlSaBhjmXg3kjp8qoBp00HgPp00AyQyliUU9t00ougF00krip00ouMt00otJt00fSVt00fSVt00fSVr004l2,P2Win,P2Win
