#ID,P1,P2,Result,Result
2011,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dfiwpVLF3w01b6TX01dgAO019e9O01hhWwjvJ8aw01eS0wpVTcEt01bmut012vGp01xW5ajvJn0ajvLfKalGcJoU01uHGaggrXka16zBojnQedSa2bHsXp01hvWa1OHEzp017j5p01ybHalGfqkGjvxdI,P1Win,P2Win
2012,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000iOu7k9szM7k57447k9qH2joH2Afr00tih7kmEcK7kiiG27kmCAoamKhz0amKeS49la2OV9l5LWt9l9Y5e415A5na2B43ma2B6Jj7plDBi7pq62F7puxt39p8pPb9plIYazcUI5dx5YUGhxkifbUr004jja8n7I71lEVx91lF0z3O00iNRT01evSp00tzja6vMfEa6vJyIa6vKTJp01dIi,P2Win,P1Win
2013,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000gFvi2AF7yp00r9Xj19MIW9lekkJ9kVPoO9kRiBw9kIKei9p8eyD9puwov90dhxV90zznNp00vaXantjVQantmCMa2aC36a2aEJ741ry3hx5YWz2x5YLPg7kr2RC7kr6Tw7kifIH7kijKD7k9szM7k9wBKzcUIlK39nNa91kVPoOr00O5e1kVTqGp01ARm,P1Win,P2Win
2014,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000lLOimJWqi71rjN471e2grx5UpKMxkdJgq9plx9Q9plHTA90qEb390qOUM9kVS5I9kVXsA9kW3Ps9kVMHQ7kdNik7kifIH7kmHa57kdU1a7kimrx7kmNRU1oc9WB1l5K4I1ocdYvj15nYva15ATcp00xQTamKmFtamKjYx415BaAp00wgdp008kWp00Djv8091Kd,P1Win,P2Win
2015,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000fknr008m0i3fjOxh3fsq8j3fykME1NcVuzd09qc80918Dp00ocsr004iU7kdPHRx5UkoIxjQHxd9kMUcR9kIISi9kIAOur00t1SaoyllYanPkAu7kdLFX7kdOTG42aC2ja2aDnY1l1b7k90hVRd7kdWaj7kdSVA7kdIsf1l1fWp90hKzGa2aAGXzcUKuR,P1Win,P2Win
2016,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000i1tj15nYv41ekNVa2wEzua2wHgtp00pNYp00tP0amKhPoamKkwkt004iC9pD67H900b1s900gok900lLe9kRlir9kRtlh9kNcEH9lelFH9letIy9lad2U7kialP7kid2N7kifIH7kr0bI7kr2RC7kr5yy1kVO3O1kVQJM1kVTaip01AP7p01AOxr00IHlr00YLxabbVMi,P1Win,P2Win
2017,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000htTi3FMHJ41ryjOj19MJ9p00pxKp00xAOt007NOa15vwEa3fIyU90uURR90vbYx9oYq4j9p45V29kRiB57kdEau7ki6AR7ki91k7kmBMs7kmEtl7kmHah9kIyFS9kVQtB9kvuzA9kNc889oPJCXamKjbmamKguqp00SC3p01ASzaaOU3y,P1Win,P2Win
2018,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000i1SimaDYdj10Yfst0070MamKge2amKiTXa3fGGka3fJnip00seRp00vbv41Apeqad05oYad085U7kmzn37kmC437kmEJV7kdLWN7kdODH7kdRkC1l1e521l1iDK9l5xbw9l5NiS9kIvsj9kILzF9oYq4s9p3Ydq9p48Ce90dilO90mnuQr00Bm1r008mJ,P1Win,P1Win
2019,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000jmh9kRnXp9kRuGf9kRBp59kRjVv9pcEmF9pcIEX9pcRgy9pcMXga2aCQ5a2aFx3j19MIWamKlRiamKjbm7k4Xc57k9oOh7kdPrt7kifsj7kdR3P7k9tEmp00wvVp00vbv90zjga90zBwU400suNt006IGt006IGE0I96U,P1Win,P2Win
2020,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000htwj15nYvp00vHKamKi6MamKkMIp00tPta15wAT9kRiAx9kVPoM9kVXsA7k9kvY7kdKBo7kibGN7kmBMd7kienJ7kdPYg9p3ONd9p3WR19p8uFg1kr2RC1kr6Tw90zjga90DY8dt00dHOa15zhR7phcrj7phgtdp004jQt008kWr00KwJE6QB4F41nanQ,P2Win,Draw
