,,#ID,P1,P2,Result,,,
信者式多導核先,praty,13,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000imer00tDUp00tEbp017gUp017jHp01m5cp01m7Yp01APcp01ARYinG7Jw4oys9Ajo7MIqakVOVlakVRCka2SOY3a2SREYO08XfE7nKzHi7nozAq7p8lCB7nXRM67oLn877opn1g7kzTWl7kiivm7kvxCr7kdVbs7krbix7k9yQy7kmMmh7k5aUiN090W2g0qAeqg0hOqUg0qFBJ,P1Win,,1,0
下中射魔撃タゲ,,14,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000DjUX00BHi600z0OjmTq1Pr00P9sjopWcUO00BGKO00xVfO00Fsgp00Yypa00XcTp010lBp00W6Lp00NeMp00veqp00EmNp0104Daj9hjIaj9jcqaj9l5ca0105Ea011Xpw00Bqmw00FbRw00xVf,P1Win,,1,0
下前弾幕突撃（2速）,,16,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001aPqjjAihta3gQrba3gNKfp01ADDa01ATua01ydyp01AT49mTVK99mTCVB9nQdqT9nPTCm9oUYN09oViBx7jW6zv7jW7nG7kanPJ7kaoDU7ngKPR7ngOkY7o4e2J7o4hwQ7oQJII7oQGeBt017lht01e3Qp01AStp01qoSp01gs6ajRNwnajRLU1ajRKiEp016vF4odtEAGnYF86p00TrXr01ARJ,P1Win,,1,0
1速空爆(砲導ラビッツ入り),ペン太,17,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000jmma2wIkXa2wFE09liKq99liOrX9leriY9letIw9lewps9lez6o9leBMkt00aKIp00AhzamKo1ramKlkvU01tPjp01AOxj0ML0J7kifsj7kihRQ7kibGN7kidPW7kr51L7kr7aU7kr1gg7kr3ppr004jea004iG9esAdt9eODhEr00OyXgnQkANa2GBnUa2GyGY,P1Win,,1,0
害悪自閉下中,,18,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000FJmp01sgQp01sg4p0146Sp012vIa0160ir00O51apVG1E81FqoRjoQpi3j1AJYKao3QaTajRai2inoPs3hmxcdNhmxbpCp00O3jE0rlc94oq9zbp011W99kWhmQp01svCp00W7K9kn0MW9kmU9Gig7lePhnGCnnap4Hlpr01AT87kiAvI7kiFSA,P1Win,,1,0
遠導乗り込み,,20,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000lMQj0qWK2joHfMmq00IU6a00L3Ha00JaWa00HicU00mR3F0doy1a00lLVa0zBO3ansU2YanGKaMU005oYanlqb8goU1kzgp3Qaqgph5JIgppUzzgpyKprangXJKa1iGl3a2azlVa32smOalNzyVamFszOansVQgaokOR9ap8j8A,P1Win,,1,0
弾拡散空爆,,21,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000dYpajuFO0ajuNRNa00osVa00r9Uj1rmKoimJPXQh1rgzl9kMYdX9l5BcJ9kN4AP9l5GzB9kN9XH9l5LWtl9JUffld0aLaa3gQrbp00YsQp00UYzp00QXpp00KN6v00Qq5xkzKYDxkzQmvxkzVJna00x9r,P1Win,,1,0
上奥射撃タゲ1速,,22,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000jmlX006Ifp00El4w004iCj00fQxp00Gdcj2atqxU00Owma1ahP1w005DAw006Yyw008kww009Fuw00qBhO004iCO005TYO007wlt00qkUr01cpar01n8Xa1ajaYa1akMl,P1Win,,1,0
中前壁薙トンボ,ドロド,24,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001kdBT01a1hLo4nG2ajvNnSjo4rrxaozsW1aozqg1G0171Rp01f5zp01nWyp01wOxt01f7st01i4zt01iRIt01hwMt01axqt01cq1t01ezFt01ej6t01jqmr01aMUp01qWUajvENhr01lhOp01vdHp01tlHajvR9oajvUTT800XKoa6vX4M,P2Win,,0,0
射忍空爆（砲ラビッツ入り）,オレンジ,25,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000noj9liTNV9kW19w9kW9dk9liPM29liXPP9kW5bqan7mfxr0057namJRj3p01AOxp01zL7p01yaTp00FUH7kmEJx7kmFO77kr7aU7kr8fu7kvyBi7kvzFRj0VzL1q00unwT01hcOr01wQ5g53NW5a54E0Pa54FSAa54HLlU015DTO00iNSp00EAnp00Dg59esd6D9fbgy4p00noSr01vwga1sg2R,P1Win,,1,0
