,,#ID,P1,P2,Result,,,
下前迎突撃,ドロド,242,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001dw0jmp7kkp01tEaa1fklOGjvwcMajRNfFp01kdkp01wQRabUUJfp01a0xajRPVFE013jea1aXijabUXq5t01dg9t01dg9t01dg9t01dg9t01dg9t01dg9t01dg9t01dg9t01dg9t01dg9,P2Win,,0,0
一速拡散空爆,百景,243,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000vrYp008kwp00j5gp00FF1r00IS9t00tP1j1iRlr41ScWpa2aQyb7kdXLF7kioR57kmOWu7krg2T7kmRDq7kiueW7ke6z59kRiAx9liLK89kRnXp9liR809kN4AP9lexKq9kN9XH9leD8i9kIPB89lajKI9kIUY09lap8AakEFDkakEIkg,P1Win,,1,0
上前正面弾幕近入り,ok21,244,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001hu0p01efu7kamp37kanK17kap5Y7kaqqW7karLU7kal457k5Xco7k5Yxm7k60Sk7k62ei7k5Uvs7k5VQqamLgL890142x9016It9019pp901c6l901eMh901htda3gFlda3gI2e40NT5N1lfqLv1lfrzG1lfu0e1lfwpLamLjs4p01xAR7pi4Ed7pi9uip01w06T00WAoa6vwora6vuM5a6vtaIa6vwoMr010OHj1aQer,P1Win,,1,0
薙壁突撃,ゆっくり,245,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000pQMa32ByjU01Ay9ahQMORp01wx4p01fCxp01xTLp01nrtp01ytst00q88t00q88t00q88t00q88t00q88t00q88t00qVjt00qVjt00qVjp00zKSp00QrKp00WUCanUxh5ao8qnWanU6W9ajuUDwakrn2Oa0rMieadhSbFa1nLMGr013PDp01iCzajuXksp00j77a32Efgp012b6r00c90p01lLv,P1Win,,1,0
中空特化突击 Leo Pro-狮子座Pro,Kauix,246,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,0012qVj1B1zqT01ewJa3gsaWU010xqa0ruvca0rrOgp01j5H4pvqeF9oUM5J9pvi9VU00t1OgnprYpamL75XamL4p2p018CFO0Ez8Va6vMwma6vKDBa6vIKQa3fMzDa00umMgoCNk9gnthMH9eS1926pMDdUaaPuwyr00I6Hr00I607p4yXm,P2Win,,0,0
二速ラビッツ,Nightvison65,247,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001c76T01wwR4pimFvp01wi9U01nUHaggHeb9eK8SWt01hv9t018Tyj1aQfj9p0qSE9p0uUy9p0yWt9p0CYm9p0H1ga3gOe4a3gLx8OpN3dTamL5ddamL2wh7p0tzA7p0vsl7p0xl67p0zdQ1mKYQK1mL3SDa6w22na6w3U8a6w5MSa8Gcofp01wxs,P1Win,,1,0
下前壁薙突撃,幕府将军,248,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001caTp01AUga16Et0a16BM6p01AT8ampl1CampikGjnQee6p01pAdp01AROakeMOBakePvAGeOaQnaasSpwa9oIExp004iCt01bTRt01bTRt01bTRt01bTRt01bTRt01bTRt01bTRt01bTRt01bTRq017jsp01grAp01s1Tp01AOx,P1Win,,1,0
下前正面弾幕,ゆっくり,249,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,0018WB9oV2dx9oVahl9oVil99oVqoW9nPW2T9nQ56H9nQdav9nQlej9mPgBH9mL7YR9mPoFvjmL93W7oV2dx7oV73C7o4ahe7o4f7j7ngJuTa0nCDta0nzWxajvDsWp019chp01ATwamtKzDamtHSHp010Rfp01hwDajvFlHp01AS9p01syeajvHetaes3M69mLg3Fae64JK,P2Win,,0,0
近導核,,250,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000jq3T00VzMajvr6oajvsY9ajvuQTN0RKhPgnPKbAgoUS3ag00XIoT01AOxa54WhAa54YXw8e6EoUp01yGip01tkpp01nXBO00dN7U0117va1O736a1O9J2p01hdXp01fURp004ocoozdPSo0Ja0eU00BVqa2wLjra2wO0nU00dJwa1NjF7U00lOya1Nt678pDbvbp01jSKr00Ycs,P1Win,,1,0
下奥戦核先,,252,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000hhA7nKAft7nKF5y7opfuf7opkkk7p3TJ17p406S7o3fno7o3kdt7oGTCa7oGYID204t8MjnoJfy4oQ443p00zPea1rCGDa15DEmamT1OyamT4vt800wBEr01ATYp01ARsp00MrLp00vJxp011m9N09785OpUKR97kzJt07kvn967kr0Oc7kmDui7ki8217kdKH77k9ond7k523jlasXMo,P1Win,,1,0
射撃タゲ,,253,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000vLhj15E9RamoiOQamog8Up00t2Ta00IVMa00GfNp00S3wp00WRRp011T3p00S4ip00S4W84LuiMp00jDbX00tD0a9K7F3r00TUWr00S3Wp00bzSGjz6Uva9wITLO00sxSO00uafO00vvdO00w30O00xnXw00qVww00sxSw00tm4p00x60p00SCAp00Sn0r00IT6,P1Win,,1,0
下前正面弾幕,ゲン,254,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,00160hj013izjnPXmlOpVyeWN0ekQGa01jHCa1T7p0a01h1AalBrunp01ATEalBpRYalBogCp019sMp00YvGp010PIp012XVp014PIp01kKAp01uI19mKy3H9ocEWy9mKINr9mKTyb9ocPHi9od1s27n7KwE7nPOft7oyRqv7ntQhL7ocTJc7oUXbC,P1Win,,1,0
上奥クロス空爆,,255,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000vrYj0RqRMp00j5gp008kwp00LizamKvh4amKxX07kdPHRa1EYIG7kdR3P7kii9f7kijud7kmJzC7kmKUA9oU40g9oUpuJ9kRlht9l1f9e9kRw2d9l1pSX9kRGLW9l1ADHT01tiwa4QFhKa5zGQqa6rwTY8d1t3eaeNf5V9oUeK0p00JXg4phDkqgatkc9a8F2b7a8EYuc,P1Win,,1,0
三連核突撃(特殊),神天馬騎士,256,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001aPqt01azyt01azyt01azyN0efKeN0epa0N0iXjdO013Atp01demp01pk4p01ARTp01zxAp01ydmp01wS3jkSAGrajvI2HajvKIGamLgPlamLiI6amLkAQa1sF8ba1sHO7G00YNa,P1Win,,1,0
拡散空爆,,257,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000dYpj5ytFPj3fyRz9kEeKY9kVQJK7kmv4n7kmwW87kmyOS7kmBfq7kmDEX7kmFO77k4SSM7k4VQ77k50le7k546J7kdNP77kdHE48004EJ800UwFE007wlE00adhE3frSl9kvk639l5zjY9kvxgk9l5LWt70DKGx70DNnt70DR8Y40hYPip00rWDp00seB,P1Win,,1,0
下奥正面弾幕,,258,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000h13p00IH2p00IGcp00Jtup00MGmp00PCH7k4URg7kiets7kvrHM7k4Xyc7k51f87ki96A7kibMw7kvmkU7kvp1Q4nPk8OaphrzsaphoSuamKgygamKdRij00fUFjnPaYsp00wBAp00QGsp004SOp00fn9800p5D9mK2li9oUcGz9mJVaf9mJQ3L9mK9kw9oU6vw9oU1p39oUjFNp004o7v00Ru6,P1Win,,1,0
箱乗り,ok21,259,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000Xbvo0wkFUT00QdRU015ciM014DXal25gQr0132np01AQ6ooqFtup01AAeal2yAAal2BhwT01g9ba50ecNa50gSJa6vLrRp01lA1p01qFzLmKyzuM015IxI97270LnPFTfp01APzp01AkSp01AAKa6vJPva6vIe9r01AU98eX2QAp01fBY8eX3EL8nPVu28lsB898lsxTq8pvjPV8lsyHB8n3u6lIkSiVSIkSiVSal22yR,P2Win,,0,0
複合乗り込み,playstyle,260,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000D0To01ntAp01AOxo01AOxT00VRD6ppUE3U01un6a1FSNz9eOAkkgnQirE7mxzk69mKMyqU00x5ma3fNVHa1EVeTU004kAa1Eosea1Er9adjuAsygnPqfQajvbtzajveayaolut0r00MrDU01aM1a3guki9hHug1gnPXzDp01uEjp00VLU7eFLPr,P1Win,,1,0
一速前空弹幕突击 天伤星行者武松,XX,261,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001cUit01e0Pp01nGta3gHva9p4KfQ9p4MVI9p4V0L4oVm1Tp01AOxajvHXs9p4XGH9p586ejmL8YEajvKEoU01q4PalG71S9fxCHg7eaXLz7eaVSJp01pO2anQs7OanQpqST01xRSa7B81fp01wNT7oQIQ17oQLgy7oQNG67oQI2Pp013Nra7B8Oqa7BaHba7Bbvmr00S2x1ngNsh1ngPBq7kapDX7k62vS,P1Win,,1,0
下前射撃タゲ,猪神,262,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001bTFjnucv3X01bEhp01AUgp01ATIanQrV4anQpf8ajvKIkp017Qcp01gYzt012M4p01ASqp01s12G7NMHzw9Y7e6watYjWwaYQpNwbuIvEwc0ABwO86yQAOg7CqtOfBO68w05vifr00XbJr004ohabUT7UajvIPyajvHec,P1Win,,1,0
遠乗り主体要塞,幕府将军,263,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000HzaU01tPjU00pNhU008ner00JXta3XK7pa00tP0gmK8qCdjuRTHr00q4ua3YO9Ca3YQPyp01jSKo1OneFonua0Ba00QFrg00Liza1NgIm9eOzw9gnufUg7e6w4IdkzL1Np00Rvqp01AU78cRkuyaj9fneU00NIoT01q5sa7B0dOa7B2TKajvjMnr00BXtr00Rw0808VAb6phLtbp004oc,P1Win,,1,0
クロス空爆空爆,幕府将军,264,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000jmhimnTCvj15nYvp00wvVp00tPJ41NCsga2aEc5a2aGS4an7jyBan7mfxt005DF9l5vOR9l5FeD9l5ODp9kIu6E9kIDvq9kIMUc9oU1jk9oUhqV90m61P90mm9r7kiceA7kdO6v7kdPHR7k9qH27kih4F7kmHqtE6uzls,P1Win,,1,0
聖贄多枚壁突撃,幕府将军,265,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000dYpt00r94t00pNAt00ot7j15lizjoccDxjpDgjFF00su2yd0g92t00dYpt00dYpt00dYpt00dYp,P2Win,,0,0
核先,猫玉,266,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000ytLinbysdaaP2V9T00eRDp00NMH4nPzYzp00PGqa15VV6anPGXcanPEhgp00ysGakA8SwN0dLbWa15Tfap00F7Np01bkup01AOPp01vMHO00sjmp00M9Nr00Ia3SnPf2uakAb2FakAdbOzd0E9LjmKlVzjoUvK4r00flNabUjnQLfaCW8r010ORr01bma,P1Win,,1,0
下前射撃タゲ,猫玉,267,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001cY3X01dgywbQLQ9wbqjuJwaQ27Ew01dx2O5qFxKO9YcASO9oUKAjnQeusa16AXSp01x9Kp01ytbp01m6ap01cWAp0145LajvHe0p01wPRajvJ6KajvKYvGfbaXha16DEOp01wRnanQoWJanQrDFa5qBszT01aMJa5qyLDaaPT3saaPQmx8aOUp8p01u6J,P1Win,,1,0
中前弓弾幕,,268,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001qDG1kAVL01lsHxf1kJSjF1jNHxl1m7Htf1lT78i1lG9sD1kFxkM1mkM631lxj601lxqlB1m7DXg1l2hRK1mCyea1ks1zi1lkfOc1lBSkL1kANIk1kB0MT1kFpgW1lXOVB1lfFj31lP48m1lKFK21lfHbN1kOfDz1lbjvV1kJNtB1kJO1o1mCrun1mCkeN1mkMmr1lsTSlgkO45l1lsQEE1lBKfY1mgkoi1nyFub1lBI6P1mpbiH1lG6vj1mtHPl1kJRvu1lG9cf1mp9WJ1mCoNq,P1Win,,1,0
0速クロス空爆,,269,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000qSHp004iCT01aKop00DvBp00CrMa3YvRRa69Eloj1rCSjjphxVM7kdXLU7ke0EE7ke2xp7ke4qb7ke6j07k5ayp7k5caL7k5e3w7k5fVi7k5hO79kNrrh9kNjnI9kNbjX9kN3fR9kMUc49oHgiA9oGWtL9oGN50p01AzNp01AR3p01AROp01ASC2004ol801bnS800hyC,P1Win,,1,0
中奥クロス空爆,,270,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000wixjntp5xa1rMBka1rPihaoloNUaolruTp00MF1p00QG6p00FXFt00dKbp0059A7k4Tcq7k4Wq97k50DR7ki7qK7kiaEt7kidSc7kvkF57kvnSN7kvr7wp00Bqwp00xpz800bUmSphjdkp00qTbam28uham2bbdp004SYinG92N9lnwuv9liW0k9liLfA900b3H900rbl,P2Win,,0,0
下奥新幹線突撃,,271,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000m7JajuQD5ajuSvPajuUoBa00us2a00wkRa00ydCp00IVXp00mCCp00vedp00e22p01ziTa5N2GWp010Axt00bUlt00bUlt00bUlt00bUlt00bUlt00bUlt00bUlt00bUlt00bUlt00bUlt00bUlt00bUl,P2Win,,0,0
押空爆＋後方乗り込み,,272,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000KLxjnPGT9O051mQD051TD7kiNjS7kiLXU7k5xoC7k5w3E7kvVbl7kvTPna0mXfFa0n0VFq010Onp0157aamKHTyamKFdC9kNDwY9kNvtd9kNflz9kNnpnt00pNst00mRcinoNusLggcjVLfSBtDp00dHur00bzCr01ztQr01A58a01ztza00aKTU01kHap00PTaaggBzU8d1m40,P1Win,,1,0
遠導核,,273,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000gFla00rauj00j5gU00f5kU00pP4a00oJWa00g9ma00dIOa6vJyIU00DeLa6vH9ba00EzJa6v8d2U01awrU00YLHa01bQRa01178a019rka00XGA800hKIU006Yya6uBL0a6uzlsg00f4MgphcsJgoy7Flp00DfKN1iAaGa00serT01cTBT012X2a6vyhcr00zuU,P1Win,,1,0
3速クロス,ドロド,274,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e1At006KRt00b42t00bktp00wynp00CrYimse2g9l9UBt9kMSSg9opb8o9004kMamBnswamBq9z900jUt9opqI59l5LI69kN9Jkj0RaMga00nGVa00qnS7kdPJS7kdKTN7kdO8v7kmFQa7kmB127kmDXmxkmvmK,P1Win,,1,0
3速聖贄査核　要塞名：ルウシェX,神天馬騎士,275,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e1Tt00naBt00nGOt004m4S0ma66NpUGMqypLSixF00ou7j00fSQjoybrKjn77vh,P2Win,,0,0
弩有り逆導連,ギンツー,276,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000XGBp01AOyo01AOxo16nhmU01tixU01daVU00W3kU00FUIa3gIy3a3gLeYa3gsqra3gv7na3gciPa3geYLa3fVbea3fXRag01xkqgmLdh1g01hcOgmKW9pg0115dgmKG1Ng00JWBgmxcER9fkqxq7pDCCk7pDEeG7pDFQ37pDHsp7pDJ4Lr018D9,Draw,,0,0.5
弩無し逆導連,ギンツー,277,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000XGBajvuxUajvxeRU01tixU01daVU00W3kU00FUIp01AOyo0JgI4o01AOxa1O2tTr00Tpaa3gIy3a3gLeYa3gsqra3gv7na3gciPa3geYLa3fVbea3fXRag01qBAgmKW9pgmKG1NgmKpTcg01xkqg01hcOg0115dg00JWB9fkqxqp018CRp018Dmagg1Bp,P1Win,,1,0
上前弾幕乗り込み,ok21,278,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001dIwa4lvK3t015UTaiv2OLp01e0K7p0lvv7p0wwD7p0qSd9phXuh9pi3QY9pi9vp9pifGsU01eMhal2mpdr01dJXT00SPOa3gtv19mt4k79mkjkma6uNkkr00mAkr00mlc9fbmckp01u8ea6w2AEp01qBAT01vYMa6w1Lhp01uo1p01Ai5a1x4f7a1x6V38dFfhea6vXxba6w0Gkp01AOzp01u8O40WGeLjnyBbw,P1Win,,1,0
下中6速トンボ,ok21,279,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000VR0alK8b3LnoJxo8pqQCsapzMSVp01AQ3T0119balKbqrt010D3t010D2t00QKVt00QKVt00QKValKaQYapzPzRp01fWiGhl5sSajvzawajvwtAt011qcLnCoU0p00S4EjnpwDlalKCu5p01AhOp01s1kp01Aklp00PEL9ny2kaalK4F8p012JH9nyanXai8kwbai8nd7,P1Win,,1,0
1速汎用空爆,playstyle,280,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000i2wimJQ0azd0awba1ELzDa1EOgAt007OG40Rjn4p00rriamKe5uamKgLqp00OfT7oGNDc7oGQQUp01AREr00sLz7kmDWp7kmEdM7kmG6x7kmHYi7kmJR61lry7h1lrBl09pLSh39097jM9kE5nC9kEcCR9kEjSulgfq36g2Snedj0Imhk,P1Win,,1,0
上中正面弾幕（忍連入り）,Nightvision65,281,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000Oh9j15Ufar00YtAa3gfhAp00YdNT0115famKNhxamKKABr00YJTzd0D0Uzd0DO5zd0ECgzd0Fqra6vtr7a6vvjRa6vxcC4164UG9pqGAH9pqCyI9pm8rs9phDkl9phxWt9p8Fai9oYIS0p00CYBp00qST1nPzUn1nPD961nPEKrr00wvVp00MDxa3fMjf1kAkERp00j5g7p0cTf7p8XHc,P2Win,,0,0
上前正面弾幕,Nightvision65,282,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001kb4img2UBa6vwFGT015nHa6vAaca6vCQ8p0157Tp00YKDa6vCzua6vAGJa6vyNYU01hJBp01nUEj0wcwwp01zdsp01yGbamLi76amLkN2a2bDERa2bGlP4pEtLIaggFSdaggDch9pE8gq9pE3X89pzMOq9pEgQV9pElab9pEpsy7kap687karM4r00iNSa3fwbD7p9yXR7p9xmv1nQbsx1nQg2h7eaMKm,P1Win,,1,0
